"observation","site_no","dateTime","water discharge","nitrite+nitrate","latitude","longitude","altitude"
"13913","04190000",2021-04-24,175,3.64,41.0414393,-84.2268905,687.09
"13914","04190000",2021-04-24,175,3.64,41.0414393,-84.2268905,687.09
"13915","04190000",2021-04-25,148,3.47,41.0414393,-84.2268905,687.09
"13916","04190000",2021-04-25,148,3.47,41.0414393,-84.2268905,687.09
"13917","04190000",2021-04-26,152,3.32,41.0414393,-84.2268905,687.09
"13918","04190000",2021-04-26,152,3.32,41.0414393,-84.2268905,687.09
"13919","04190000",2021-04-27,142,3.2,41.0414393,-84.2268905,687.09
"13920","04190000",2021-04-27,142,3.2,41.0414393,-84.2268905,687.09
"13921","04190000",2021-04-28,130,3.3,41.0414393,-84.2268905,687.09
"13922","04190000",2021-04-28,130,3.3,41.0414393,-84.2268905,687.09
"13923","04190000",2021-04-29,1490,5.58,41.0414393,-84.2268905,687.09
"13924","04190000",2021-04-29,1490,5.58,41.0414393,-84.2268905,687.09
"13925","04190000",2021-04-30,4260,8.36,41.0414393,-84.2268905,687.09
"13926","04190000",2021-04-30,4260,8.36,41.0414393,-84.2268905,687.09
"13927","04190000",2021-05-01,5490,7.09,41.0414393,-84.2268905,687.09
"13928","04190000",2021-05-01,5490,7.09,41.0414393,-84.2268905,687.09
"13929","04190000",2021-05-02,4510,8.55,41.0414393,-84.2268905,687.09
"13930","04190000",2021-05-02,4510,8.55,41.0414393,-84.2268905,687.09
"13931","04190000",2021-05-03,1770,8.04,41.0414393,-84.2268905,687.09
"13932","04190000",2021-05-03,1770,8.04,41.0414393,-84.2268905,687.09
"13933","04190000",2021-05-04,655,7.15,41.0414393,-84.2268905,687.09
"13934","04190000",2021-05-04,655,7.15,41.0414393,-84.2268905,687.09
"13935","04190000",2021-05-05,565,6.31,41.0414393,-84.2268905,687.09
"13936","04190000",2021-05-05,565,6.31,41.0414393,-84.2268905,687.09
"13937","04190000",2021-05-06,527,5.53,41.0414393,-84.2268905,687.09
"13938","04190000",2021-05-06,527,5.53,41.0414393,-84.2268905,687.09
"13939","04190000",2021-05-07,432,4.82,41.0414393,-84.2268905,687.09
"13940","04190000",2021-05-07,432,4.82,41.0414393,-84.2268905,687.09
"13941","04190000",2021-05-08,384,4.22,41.0414393,-84.2268905,687.09
"13942","04190000",2021-05-08,384,4.22,41.0414393,-84.2268905,687.09
"13943","04190000",2021-05-09,1780,4.44,41.0414393,-84.2268905,687.09
"13944","04190000",2021-05-09,1780,4.44,41.0414393,-84.2268905,687.09
"13945","04190000",2021-05-10,5330,6.26,41.0414393,-84.2268905,687.09
"13946","04190000",2021-05-10,5330,6.26,41.0414393,-84.2268905,687.09
"13947","04190000",2021-05-11,7740,5.63,41.0414393,-84.2268905,687.09
"13948","04190000",2021-05-11,7740,5.63,41.0414393,-84.2268905,687.09
"13949","04190000",2021-05-12,8270,5.55,41.0414393,-84.2268905,687.09
"13950","04190000",2021-05-12,8270,5.55,41.0414393,-84.2268905,687.09
"13951","04190000",2021-05-13,7210,6.64,41.0414393,-84.2268905,687.09
"13952","04190000",2021-05-13,7210,6.64,41.0414393,-84.2268905,687.09
"13953","04190000",2021-05-14,4620,6.68,41.0414393,-84.2268905,687.09
"13954","04190000",2021-05-14,4620,6.68,41.0414393,-84.2268905,687.09
"13955","04190000",2021-05-15,1420,6.34,41.0414393,-84.2268905,687.09
"13956","04190000",2021-05-15,1420,6.34,41.0414393,-84.2268905,687.09
"13957","04190000",2021-05-16,683,5.87,41.0414393,-84.2268905,687.09
"13958","04190000",2021-05-16,683,5.87,41.0414393,-84.2268905,687.09
"13959","04190000",2021-05-17,486,5.42,41.0414393,-84.2268905,687.09
"13960","04190000",2021-05-17,486,5.42,41.0414393,-84.2268905,687.09
"13961","04190000",2021-05-18,366,5.01,41.0414393,-84.2268905,687.09
"13962","04190000",2021-05-18,366,5.01,41.0414393,-84.2268905,687.09
"13963","04190000",2021-05-19,267,4.58,41.0414393,-84.2268905,687.09
"13964","04190000",2021-05-19,267,4.58,41.0414393,-84.2268905,687.09
"13965","04190000",2021-05-20,210,4.17,41.0414393,-84.2268905,687.09
"13966","04190000",2021-05-20,210,4.17,41.0414393,-84.2268905,687.09
"13967","04190000",2021-05-21,178,3.8,41.0414393,-84.2268905,687.09
"13968","04190000",2021-05-21,178,3.8,41.0414393,-84.2268905,687.09
"13969","04190000",2021-05-22,155,3.47,41.0414393,-84.2268905,687.09
"13970","04190000",2021-05-22,155,3.47,41.0414393,-84.2268905,687.09
"13971","04190000",2021-05-23,145,3.17,41.0414393,-84.2268905,687.09
"13972","04190000",2021-05-23,145,3.17,41.0414393,-84.2268905,687.09
"13973","04190000",2021-05-24,134,2.94,41.0414393,-84.2268905,687.09
"13974","04190000",2021-05-24,134,2.94,41.0414393,-84.2268905,687.09
"13975","04190000",2021-05-25,144,2.96,41.0414393,-84.2268905,687.09
"13976","04190000",2021-05-25,144,2.96,41.0414393,-84.2268905,687.09
"13977","04190000",2021-05-26,148,3.17,41.0414393,-84.2268905,687.09
"13978","04190000",2021-05-26,148,3.17,41.0414393,-84.2268905,687.09
